8 Mai (carrefour du)	Lundi et vendredi soir	Mardi soir	Mercredi matin	Secteur B	Secteur 3
Albert Auboin (rue)	Lundi et vendredi matin	Mardi matin	Jeudi matin	Secteur B	Secteur 1
Albert Laurent (rue)	Lundi et vendredi soir	Mardi soir	Mercredi matin	Secteur A	Secteur 3
Alfred de Musset (rue)	Lundi et vendredi matin	Mardi matin	Jeudi matin	Secteur B	Secteur 3
Alphonse Daudet (rue)	"Lundi, mercredi, vendredi soir"	Mardi soir	Mercredi matin	Secteur A	Secteur 4
Alsace (rue d’)	Lundi et vendredi matin	Mardi matin	Jeudi matin	Secteur B	Secteur 1
Amélie (avenue)	Lundi et vendredi matin	Mardi matin	Jeudi matin	Secteur B	Secteur 3
Ampere (rue)	Lundi et vendredi matin	Mardi matin	Jeudi matin	Secteur B	Secteur 1
Anatole France (rue)	"Lundi, mercredi, vendredi soir"	Mardi soir	Mercredi matin	Secteur A	Secteur 4
André Gide (rue)	"Lundi, mercredi, vendredi soir"	Mardi soir	Mercredi matin	Secteur B	Secteur 4
Antoine Watteau (allée)	"Lundi, mercredi, vendredi soir"	Mardi soir	Mercredi matin	Secteur A	Secteur 3
Arago (rue)	Lundi et vendredi matin	Mardi matin	Jeudi matin	Secteur B	Secteur 1
Aulnais (petit sentier des)	Lundi et vendredi matin	Mardi matin	Jeudi matin	Secteur B	Secteur 3
"Avenir (rue de l’) côté avenue
de Paris"	Lundi et vendredi soir	Mardi soir	Mercredi matin	Secteur B	Secteur 4
"Avenir (rue de l’) côté avenue de
la République"	Lundi et vendredi soir	Mardi soir	Mercredi matin	Secteur A	Secteur 4
Bagneux (rue de)	Lundi et vendredi soir	Mardi soir	Mercredi matin	Secteur A	Secteur 3
n°13 (école Le Parc)	"Lundi, mercredi, vendredi soir"	Mardi soir	Mercredi matin	Secteur A	Secteur 3
Beauséjour (allée)	Lundi et vendredi matin	Mardi matin	Jeudi matin	Secteur B	Secteur 1
Beranger (rue)	Lundi et vendredi matin	Mardi matin	Jeudi matin	Secteur B	Secteur 1
"n°7, 9 et n°51-53 (jardin d’école
Béranger)"	"Lundi, mercredi, vendredi matin"	Mardi matin	Jeudi matin	Secteur B	Secteur 1
Beranger (villa)	Lundi et vendredi matin	Mardi matin	Jeudi matin	Secteur B	Secteur 1
Berlioz (allée)	"Lundi, mercredi, vendredi matin"	Mardi matin	Jeudi matin	Secteur B	Secteur 2
Blanchard (rue)	Lundi et vendredi soir	Mardi soir	Mercredi matin	Secteur A	Secteur 3
Blanchard (villa)	Lundi et vendredi soir	Mardi soir	Mercredi matin	Secteur A	Secteur 3
Cadran solaire (allée du)	Lundi et vendredi soir	Mardi soir	Mercredi matin	Secteur A	Secteur 3
du n°1 au n° 7 (côté impair)	"Lundi, mercredi, vendredi soir"	Mardi soir	Mercredi matin	Secteur A	Secteur 3
du n°2 au n°14 (côté pair)	Lundi et vendredi soir	Mardi soir	Mercredi matin	Secteur A	Secteur 3
Cèdre (allée du)	"Lundi, mercredi , vendredi soir"	Mardi soir	Mercredi matin	Secteur A	Secteur 3
Chalets (allée des)	Lundi et vendredi matin	Mardi matin	Jeudi matin	Secteur B	Secteur 3
Champs fleuris (impasse des)	Lundi et vendredi matin	Mardi matin	Jeudi matin	Secteur B	Secteur 3
"Charles Aznavour (allée)
Présentation rue Gabriel Péri"	Lundi etvendredi soir	Mardi soir	Mercredi matin	Secteur A	Secteur 3
"Charles Aznavour (allée)
Présentation avenue de Verdun"	Lundi et vendredi soir	Mardi soir	Mercredi matin	Secteur A	Secteur 3
Charlot (passage)	Lundi et vendredi soir	Mardi soir	Mercredi matin	Secteur A	Secteur 3
Chartres (rue de)	Lundi et vendredi soir	Mardi soir	Mercredi matin	Secteur A	Secteur 3
"n°19, 21 et 23"	"Lundi, mercredi, vendredi soir"	Mardi soir	Mercredi matin	Secteur A	Secteur 3
Châteaubriand (rue)	"Lundi, mercredi, vendredi matin"	Mardi matin	Jeudi matin	Secteur B	Secteur 3
Clément Perrière (avenue)	Lundi et vendredi matin	Mardi matin	Jeudi matin	Secteur B	Secteur 2
n°40	"Lundi, mercredi, vendredi matin"	Mardi matin	Jeudi matin	Secteur B	Secteur 2
Clos de la Marquise (villa du)	Lundi et vendredi soir	Mardi soir	Mercredi matin	Secteur A	Secteur 3
Colbert (rue)	Lundi et vendredi soir	Mardi soir	Jeudi matin	Secteur B	Secteur 3
Corot (rue)	Lundi et vendredi soir	Mardi soir	Jeudi matin	Secteur B	Secteur 3
Courtois (rue)	Lundi et vendredi soir	Mardi soir	Mercredi matin	Secteur A	Secteur 4
Dahlias (allée des)	"Lundi, mercredi, vendredi matin"	Mardi matin	Jeudi matin	Secteur B	Secteur 2
Defense (rue de la)	Lundi et vendredi soir	Mardi soir	Jeudi matin	Secteur B	Secteur 3
Denise (villa)	Lundi et vendredi matin	Mardi matin	Jeudi matin	Secteur B	Secteur 1
Désiré (impasse)	Lundi et vendredi soir	Mardi soir	Jeudi matin	Secteur B	Secteur 3
Desporte (rue)	Lundi et vendredi matin	Mardi matin	Jeudi matin	Secteur B	Secteur 2
Diderot (allée)	Lundi et vendredi matin	Mardi matin	Jeudi matin	Secteur B	Secteur 1
Division Leclerc (avenue de la)	Lundi et vendredi soir	Mardi soir	Mercredi matin	Secteur A	Secteur 3
du n°2 au n°60 (côté pair)	"Lundi, mercredi, vendredi soir"	Mardi soir	Mercredi matin	Secteur A	Secteur 3
Edgar Brandt (côté rue Voltaire)	Lundi et vendredi matin	Mardi matin	Jeudi matin	Secteur B	Secteur 1
Edgar Brandt (côté bd de Vanves)	"Lundi, mercredi, vendredi matin"	Mardi matin	Jeudi matin	Secteur B	Secteur 1
Edmond Rostand (rue)	"Lundi, mercredi, vendredi matin"	Mardi matin	Jeudi matin	Secteur B	Secteur 2
Eglise (place de l’)	Lundi et vendredi soir	Mardi soir	Mercredi matin	Secteur A	Secteur 3
Epargne (allée de l’)	Lundi et vendredi matin	Mardi matin	Jeudi matin	Secteur B	Secteur 1
Epargne (rue de l’)	Lundi et vendredi matin	Mardi matin	Jeudi matin	Secteur B	Secteur 1
Epée (allée de l’)	Lundi et vendredi matin	Mardi matin	Jeudi matin	Secteur B	Secteur 1
Esperance (impasse de l’)	Lundi et vendredi matin	Mardi matin	Jeudi matin	Secteur B	Secteur 1
Esther Cordier (rue)	Lundi et vendredi matin	Mardi matin	Jeudi matin	Secteur B	Secteur 2
Estienne d’Orves (rue)	Lundi et vendredi soir	Mardi soir	Mercredi matin	Secteur A	Secteur 3
Etangs (passage des)	Lundi et vendredi soir	Mardi soir	Jeudi matin	Secteur B	Secteur 3
Etangs (rue des)	Lundi et vendredi soir	Mardi soir	Jeudi matin	Secteur B	Secteur 3
Etienne Deforges (rue)	Lundi et vendredi soir	Mardi soir	Mercredi matin	Secteur A	Secteur 4
"du n° 11 au 23 (côté impair), n°10 (multi-accueil Les Matelots), n°12
et 30 (crècle Le Petit Poucet)"	"Lundi, mercredi, vendredi soir"	Mardi soir	Mercredi matin	Secteur A	Secteur 4
Eugène (villa)	Lundi et vendredi matin	Mardi matin	Jeudi matin	Secteur B	Secteur 1
Eugène Dumur (place)	Lundi et vendredi soir	Mardi soir	Mercredi matin	Secteur A	Secteur 3
Eugénie (villa)	Lundi et vendredi matin	Mardi matin	Jeudi matin	Secteur B	Secteur 3
Europe (place de l’)	Lundi et vendredi soir	Mardi soir	Mercredi matin	Secteur A	Secteur 3
