19 Mars 1962 (square du)	,	Lundi vendredi matin	,	Jeudi matin	,	Lundi matin	,	Secteur A	,	Secteur 1
4 Chemins (allée des)	,	Lundi vendredi matin	,	Jeudi matin	,	Lundi matin	,	Secteur C	,	Secteur 2
8 Mai 1945 (carrefour du)	,	Lundi vendredi soir	,	Jeudi soir	,	Lundi matin	,	Secteur D	,	Secteur 3
Acacias (avenue des)	,	Lundi vendredi soir	,	Jeudi soir	,	Lundi matin	,	Secteur D	,	Secteur 3
Adèle (rue)	,	Lundi vendredi matin	,	Jeudi matin	,	Lundi matin	,	Secteur D	,	Secteur 2
Adolphe Schneider (avenue)	,	Lundi vendredi matin	,	Jeudi matin	,	Lundi matin	,	Secteur C	,	Secteur 2
Agry (cité d’)	,	Lundi vendredi matin	,	Jeudi matin	,	Lundi matin	,	Secteur B	,	Secteur 1
Aime Césaire (place)	,	Lundi vendredi soir	,	Jeudi soir	,	Lundi matin	,	Secteur D	,	Secteur 4
Albert Neveu (rue)	,	Lundi vendredi soir	,	Jeudi soir	,	Lundi matin	,	Secteur D	,	Secteur 1
Alexandre Barbaroux (rue)	,	Lundi vendredi matin	,	Jeudi matin	,	Lundi matin	,	Secteur A	,	Secteur 2
Alfred (rue)	,	Lundi vendredi matin	,	Jeudi matin	,	Lundi matin	,	Secteur D	,	Secteur 2
Alphonse Daudet (rue)	,	Lundi vendredi matin	,	Jeudi matin	,	Lundi matin	,	Secteur B	,	Secteur 4
Alsace (rue d’)	,	Borne enterrée	,	Borne enterrée	,	Lundi matin	,	Borne enterrée	,	Secteur 4
Anatole France (rue)	,	Lundi vendredi soir	,	Jeudi soir	,	Lundi matin	,	Secteur D	,	Secteur 4
Andreas Beck (rue)	,	Lundi vendredi soir	,	Jeudi soir	,	Lundi matin	,	Secteur D	,	Secteur 4
Andreas Beck (Hôpital) (rue)	,	Lundi, mercredi et vendredi soir	,	Jeudi soir	,	Lundi matin	,	Secteur D	,	Secteur 4
Andrée (villa)	,	Lundi vendredi matin	,	Jeudi matin	,	Lundi matin	,	Secteur A	,	Secteur 1
Anjou Pavé Blanc (cité)	,	Lundi vendredi soir	,	Jeudi soir	,	Lundi matin	,	Secteur D	,	Secteur 3
Antoine Bourdelle (rue)	,	Borne enterrée	,	Borne enterrée	,	Lundi matin	,	Borne enterrée	,	Secteur 3
Antoine Chanut (rue)	,	Lundi vendredi soir	,	Jeudi soir	,	Lundi matin	,	Secteur D	,	Secteur 4
Antoine Courbarien (rue)	,	Lundi vendredi matin	,	Jeudi matin	,	Lundi matin	,	Secteur C	,	Secteur 2
Antoine Grossin (allée)	,	Lundi vendredi matin	,	Jeudi matin	,	Lundi matin	,	Secteur D	,	Secteur 2
Antoine Portal (allée)	,	Borne enterrée	,	Borne enterrée	,	Lundi matin	,	Borne enterrée	,	Secteur 3
Appel du 18 Juin 1940 (square de l’)	,	Lundi vendredi matin	,	Jeudi matin	,	Lundi matin	,	Secteur B	,	Secteur 1
Aquitaine (rue d’)	,	Borne enterrée	,	Borne enterrée	,	Lundi matin	,	Borne enterrée	,	Secteur 3
Arbres Verts (carrefour des)	,	Lundi vendredi soir	,	Jeudi soir	,	Lundi matin	,	Secteur D	,	Secteur 3
Arménie (rue d’)	,	Lundi vendredi matin	,	Jeudi matin	,	Lundi matin	,	Secteur C	,	Secteur 2
Arsène Georges (allée)	,	Lundi vendredi matin	,	Jeudi matin	,	Lundi matin	,	Secteur C	,	Secteur 2
Artois (rue d’)	,	Borne enterrée	,	Borne enterrée	,	Lundi matin	,	Borne enterrée	,	Secteur 3
Aubépines (rue des)	,	Lundi vendredi soir	,	Jeudi soir	,	Lundi matin	,	Secteur D	,	Secteur 3
Auvergne (rue d’)	,	Borne enterrée + lundi, mercredi et vendredi soir	,	Borne enterrée + jeudi soir	,	Lundi matin	,	Borne enterrée + Secteur D	,	Secteur 4
Avenir (allée de l’)	,	Lundi vendredi matin	,	Jeudi matin	,	Lundi matin	,	Secteur D	,	Secteur 2
Balanche (allée)	,	Lundi vendredi matin	,	Jeudi matin	,	Lundi matin	,	Secteur A	,	Secteur 2
Baudry (allée)	,	Lundi vendredi matin	,	Jeudi matin	,	Lundi matin	,	Secteur D	,	Secteur 2
Bearn (rue du)	,	Borne enterrée	,	Borne enterrée	,	Lundi matin	,	Borne enterrée	,	Secteur 4
Beauséjour (avenue)	,	Lundi vendredi soir	,	Jeudi soir	,	Lundi matin	,	Secteur B	,	Secteur 4
Beausoleil (allée)	,	Lundi vendredi matin	,	Jeudi matin	,	Lundi matin	,	Secteur A	,	Secteur 2
Bel Air (allée du)	,	Lundi vendredi matin	,	Jeudi matin	,	Lundi matin	,	Secteur D	,	Secteur 2
Bellevue (impasse)	,	Lundi vendredi soir	,	Jeudi soir	,	Lundi matin	,	Secteur B	,	Secteur 4
Bergères (rue des)	,	Lundi vendredi soir	,	Jeudi soir	,	Lundi matin	,	Secteur D	,	Secteur 3
Bernard de Vantadour (allée)	,	Borne enterrée	,	Borne enterrée	,	Lundi matin	,	Borne enterrée	,	Secteur 3
